Unnamed: 0,id,book,book_num,chapter,chapter_num,character,full_text,character_words,writer,director,imdb_rating
7901,7901,Earth,2,The Tales of Ba Sing Se,15,Katara,Toph! Aren't you gonna get ready for the day?,Toph! Aren't you gonna get ready for the day?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7903,7903,Earth,2,The Tales of Ba Sing Se,15,Toph,I'm ready.,I'm ready.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7904,7904,Earth,2,The Tales of Ba Sing Se,15,Katara,"You're not gonna wash up? You've got a little dirt on your ... everywhere, actually.","You're not gonna wash up? You've got a little dirt on your ... everywhere, actually.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7905,7905,Earth,2,The Tales of Ba Sing Se,15,Toph,"You call it dirt, I call it a healthy coating of earth!","You call it dirt, I call it a healthy coating of earth!","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7906,7906,Earth,2,The Tales of Ba Sing Se,15,Katara,Hmm ... [Thinking.] You know what we need? A girl's day out!,Hmm ...  You know what we need? A girl's day out!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7907,7907,Earth,2,The Tales of Ba Sing Se,15,Toph,Do I have to?!,Do I have to?!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7908,7908,Earth,2,The Tales of Ba Sing Se,15,Katara,It'll be fun!,It'll be fun!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7910,7910,Earth,2,The Tales of Ba Sing Se,15,Toph,The Fancy Lady Day Spa? [Sarcastically.] Sounds like my kinda place.,The Fancy Lady Day Spa?  Sounds like my kinda place.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7911,7911,Earth,2,The Tales of Ba Sing Se,15,Katara,Are you ready for some serious pampering?,Are you ready for some serious pampering?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7912,7912,Earth,2,The Tales of Ba Sing Se,15,Toph,"Sure, Katara, whatever you say. As long as they don't touch my feet.","Sure, Katara, whatever you say. As long as they don't touch my feet.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7914,7914,Earth,2,The Tales of Ba Sing Se,15,Toph,"Well, that wasn't so bad. I'm not usually into that stuff but I actually feel ... girly.","Well, that wasn't so bad. I'm not usually into that stuff but I actually feel ... girly.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7915,7915,Earth,2,The Tales of Ba Sing Se,15,Katara,I'm glad. It's about time we did something fun together.,I'm glad. It's about time we did something fun together.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7918,7918,Earth,2,The Tales of Ba Sing Se,15,Toph,Thanks.,Thanks.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7921,7921,Earth,2,The Tales of Ba Sing Se,15,Katara,"Don't listen to them, let's just keep walking.","Don't listen to them, let's just keep walking.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7925,7925,Earth,2,The Tales of Ba Sing Se,15,Katara,"[Angrily.] Let's go, Toph.","Let's go, Toph.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7926,7926,Earth,2,The Tales of Ba Sing Se,15,Toph,"[Sarcastically.] No, no, that was a good one. Like your poodle monkey. [She laughs.] You know what else is a good one? [She earthbends the bridge, removing a circular part above which the three girls are standing, causing the girls to fall into the creek below. Cut to Katara's face from the hole.]","No, no, that was a good one. Like your poodle monkey.  You know what else is a good one?","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7927,7927,Earth,2,The Tales of Ba Sing Se,15,Katara,Now that was funny.,Now that was funny.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7929,7929,Earth,2,The Tales of Ba Sing Se,15,Katara,Those girls don't know what they're talking about.,Those girls don't know what they're talking about.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7930,7930,Earth,2,The Tales of Ba Sing Se,15,Toph,"It's okay. One of the good things about being blind, is I don't have to waste my time worrying about appearance. [Cut to a close-up of Toph's face.] I don't care what I look like. I'm not looking for anyone's approval. I know who I am. [She stops walking, and she cries a bit.]","It's okay. One of the good things about being blind, is I don't have to waste my time worrying about appearance.  I don't care what I look like. I'm not looking for anyone's approval. I know who I am.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7931,7931,Earth,2,The Tales of Ba Sing Se,15,Katara,"That's what I really admire about you, Toph. You're so strong, and confident, and self-assured. [Toph sniffs.] And I know it doesn't matter, but ... [Keeps her palm on Toph's shoulder.] You're really pretty.","That's what I really admire about you, Toph. You're so strong, and confident, and self-assured.  And I know it doesn't matter, but ...  You're really pretty.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7932,7932,Earth,2,The Tales of Ba Sing Se,15,Toph,"[Turning to Katara, smiling.] I am?",I am?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7933,7933,Earth,2,The Tales of Ba Sing Se,15,Katara,"Yeah, you are.","Yeah, you are.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7935,7935,Earth,2,The Tales of Ba Sing Se,15,Toph,"I'd return the compliment, but I've no idea how you look like. [Katara laughs.] Thank you, Katara. [She punches Katara's shoulder, her way of showing affection.]","I'd return the compliment, but I've no idea how you look like.  Thank you, Katara.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7936,7936,Earth,2,The Tales of Ba Sing Se,15,Katara,Ow!,Ow!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7939,7939,Earth,2,The Tales of Ba Sing Se,15,Iroh,"No, it's not a romantic picnic, but it is a special occasion. [He hands a coin to the owner, and takes the basket. As he goes, he sees a vase that contains a moon flower. He slides the vase into the shade, which causes the flowers to bloom instantly.] The moon flower likes partial shade. [He bows to the shop owner and walks away.]","No, it's not a romantic picnic, but it is a special occasion.  The moon flower likes partial shade.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7942,7942,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[He takes an instrument from the shop, and starts singing, walking toward the boy. Iroh gets down on one knee near the boy as he begins to sing.] Leaves from the vine, falling so slow. Like fragile, tiny shells, drifting in the foam. Little soldier boy, come marching home. Brave soldier boy, comes marching home.","Leaves from the vine, falling so slow. Like fragile, tiny shells, drifting in the foam. Little soldier boy, come marching home. Brave soldier boy, comes marching home.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7945,7945,Earth,2,The Tales of Ba Sing Se,15,Iroh,"It is usually best to admit mistakes when they occur, and seek to restore honor.","It is usually best to admit mistakes when they occur, and seek to restore honor.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7948,7948,Earth,2,The Tales of Ba Sing Se,15,Iroh,But not this time. Run!,But not this time. Run!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7952,7952,Earth,2,The Tales of Ba Sing Se,15,Iroh,[Confused.] What are you doing?,What are you doing?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7954,7954,Earth,2,The Tales of Ba Sing Se,15,Iroh,[Confused.] With that stance?,With that stance?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7956,7956,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[He shakes his head.] With a poor stance, you are unbalanced, and you can be easily knocked over. [He quickly grabs the arm of the mugger and disarms him, while pushing his attacker and knocking him to the ground. He smiles, while twirling the dagger in his hand, and helps Tycho to his feet.]","With a poor stance, you are unbalanced, and you can be easily knocked over.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7957,7957,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[Hands the knife back to Tycho.] With a solid stance, you are a much more serious threat. [Iroh demonstrates a proper stance, which Tycho attempts to imitate, but is still not assuming the correct form. Iroh walks over to him and holds his head still while he adjusts the man's stance with a light kick.] Much better! But to tell you the truth, you do not look like the criminal type.","With a solid stance, you are a much more serious threat.  Much better! But to tell you the truth, you do not look like the criminal type.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7961,7961,Earth,2,The Tales of Ba Sing Se,15,Iroh,Of course!,Of course!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7964,7964,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[Smiling.] While it is always best to believe in oneself, a little help from others can be a great blessing.","While it is always best to believe in oneself, a little help from others can be a great blessing.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
